#             iks              ib         Eks[eV]         Ein[eV]      Sc_Ein[eV]        Eout[eV]       Diff.[eV]
         1.000000      324.000000        2.240401        1.894623        4.277311        1.894623        0.000000
         1.000000      325.000000        2.248606        1.955630        4.271668        1.955630        0.000000
         1.000000      326.000000        2.285193        2.010037        4.263124        2.010037        0.000000
         1.000000      327.000000        2.292496        1.978994        4.270907        1.978994        0.000000
         1.000000      328.000000        2.319503        2.029980        4.218721        2.029980        0.000000
         1.000000      329.000000        2.325561        1.950245        4.208930        1.950245        0.000000
         1.000000      330.000000        2.359924        2.037607        4.287614        2.037607        0.000000
         1.000000      331.000000        2.363884        2.018330        4.301147        2.018330        0.000000
         1.000000      332.000000        2.371899        2.105837        4.218664        2.105837        0.000000
         1.000000      333.000000        2.399402        2.073429        4.227710        2.073429        0.000000
         1.000000      334.000000        2.416720        2.125398        4.157899        2.125398        0.000000
         1.000000      335.000000        2.446309        2.093878        4.199210        2.093878        0.000000
         1.000000      336.000000        2.455847        2.135394        4.264537        2.135394        0.000000
         1.000000      337.000000        2.471444        2.142026        4.213518        2.142026        0.000000
         1.000000      338.000000        2.516066        2.152018        4.187180        2.152018        0.000000
         1.000000      339.000000        2.525228        2.266727        4.162971        2.266727        0.000000
         1.000000      340.000000        2.532455        2.237591        4.189859        2.237591        0.000000
         1.000000      341.000000        2.560662        2.256056        4.173739        2.256056        0.000000
         1.000000      342.000000        2.590649        2.250816        4.170768        2.250816        0.000000
         1.000000      343.000000        2.597386        2.401836        4.088667        2.401836        0.000000
         1.000000      344.000000        2.626862        2.301409        4.165065        2.301409        0.000000
         1.000000      345.000000        2.638427        2.343413        4.148183        2.343413        0.000000
         1.000000      346.000000        2.663855        2.413550        4.082267        2.413550        0.000000
         1.000000      347.000000        2.676740        2.363632        4.112743        2.363632        0.000000
         1.000000      348.000000        2.706220        2.404541        4.118932        2.404541        0.000000
         1.000000      349.000000        2.726111        2.418116        4.080350        2.418116        0.000000
         1.000000      350.000000        2.748269        2.541121        4.066220        2.541121        0.000000
         1.000000      351.000000        2.767004        2.447622        4.126725        2.447622        0.000000
         1.000000      352.000000        2.776148        2.508788        4.104231        2.508788        0.000000
         1.000000      353.000000        2.805571        2.452998        4.095952        2.452998        0.000000
         1.000000      354.000000        2.818417        2.577562        4.070642        2.577562        0.000000
         1.000000      355.000000        2.841911        2.539799        4.101907        2.539799        0.000000
         1.000000      356.000000        2.873352        2.656884        4.013656        2.656884        0.000000
         1.000000      357.000000        2.886362        2.611485        4.054901        2.611485        0.000000
         1.000000      358.000000        2.895701        2.651057        4.003981        2.651057        0.000000
         1.000000      359.000000        2.938096        2.722123        3.991902        2.722123        0.000000
         1.000000      360.000000        2.948447        2.690478        3.990883        2.690478        0.000000
         1.000000      361.000000        2.965903        2.606862        4.107799        2.606862        0.000000
         1.000000      362.000000        2.982552        2.743967        4.016597        2.743967        0.000000
         1.000000      363.000000        3.000524        2.748938        3.957950        2.748938        0.000000
         1.000000      364.000000        3.026556        2.820507        3.937282        2.820507        0.000000
         1.000000      365.000000        3.036236        2.911832        3.877824        2.911832        0.000000
