
     Program AVERAGE v.6.1 (svn rev. 13369) starts on 14Sep2017 at 12:30: 0 

     This program is part of the open-source Quantum ESPRESSO suite
     for quantum simulation of materials; please cite
         "P. Giannozzi et al., J. Phys.:Condens. Matter 21 395502 (2009);
          URL http://www.quantum-espresso.org", 
     in publications or presentations arising from this work. More details at
     http://www.quantum-espresso.org/quote

     Parallel version (MPI & OpenMP), running on      32 processor cores
     Number of MPI processes:                 1
     Threads/MPI process:                    32
     Reading header from file  out.oncv

   Info: using nr1, nr2, nr3 values from input

   Info: using nr1, nr2, nr3 values from input
 
     G-vector sticks info
     --------------------
     sticks:   dense  smooth     PW     G-vecs:    dense   smooth      PW
     Sum        4741    4741      1               246225   246225       1
 
     Reading data from file  out.oncv
    0.536526657   -0.124585903    0.017883973
    0.547046788   -0.130394972    0.017419310
    0.557566918   -0.136178023    0.016948578
    0.568087049   -0.141931111    0.016471630
    0.578607179   -0.147650273    0.015988324
    0.589127310   -0.153331531    0.015498524
    0.599647440   -0.158970912    0.015002099
    0.610167571   -0.164564453    0.014498922
    0.620687701   -0.170108224    0.013988873
    0.631207832   -0.175598333    0.013471839
    0.641727963   -0.181030947    0.012947713
    0.652248093   -0.186402304    0.012416395
    0.662768224   -0.191708729    0.011877795
    0.673288354   -0.196946651    0.011331827
    0.683808485   -0.202112612    0.010778417
    0.694328615   -0.207203284    0.010217498
    0.704848746   -0.212215484    0.009649011
    0.715368876   -0.217146179    0.009072908
    0.725889007   -0.221992503    0.008489149
    0.736409137   -0.226751761    0.007897703
    0.746929268   -0.231421440    0.007298549
    0.757449398   -0.235999210    0.006691675
    0.767969529   -0.240482929    0.006077079
    0.778489659   -0.244870648    0.005454768
    0.789009790   -0.249160604    0.004824758
    0.799529921   -0.253351222    0.004187073
    0.810050051   -0.257441110    0.003541747
    0.820570182   -0.261429051    0.002888822
    0.831090312   -0.265313995    0.002228349
    0.841610443   -0.269095050    0.001560384
    0.852130573   -0.272771472    0.000884994
    0.862650704   -0.276342651    0.000202251
    0.873170834   -0.279808094   -0.000487766
    0.883690965   -0.283167419   -0.001184972
    0.894211095   -0.286420331   -0.001889275
    0.904731226   -0.289566612   -0.002600578
    0.915251356   -0.292606106   -0.003318780
    0.925771487   -0.295538699   -0.004043774
    0.936291617   -0.298364310   -0.004775448
    0.946811748   -0.301082874   -0.005513688
    0.957331879   -0.303694326   -0.006258374
    0.967852009   -0.306198597   -0.007009385
    0.978372140   -0.308595594   -0.007766593
    0.988892270   -0.310885198   -0.008529871
    0.999412401   -0.313067252   -0.009299087
    1.009932531   -0.315141556   -0.010074107
    1.020452662   -0.317107864   -0.010854793
