
     Program AVERAGE v.6.1 (svn rev. 13369) starts on 14Sep2017 at 12:29:12 

     This program is part of the open-source Quantum ESPRESSO suite
     for quantum simulation of materials; please cite
         "P. Giannozzi et al., J. Phys.:Condens. Matter 21 395502 (2009);
          URL http://www.quantum-espresso.org", 
     in publications or presentations arising from this work. More details at
     http://www.quantum-espresso.org/quote

     Parallel version (MPI & OpenMP), running on      32 processor cores
     Number of MPI processes:                 1
     Threads/MPI process:                    32
     Reading header from file  out.oncv

   Info: using nr1, nr2, nr3 values from input

   Info: using nr1, nr2, nr3 values from input
 
     G-vector sticks info
     --------------------
     sticks:   dense  smooth     PW     G-vecs:    dense   smooth      PW
     Sum        5377    5377      1               295907   295907       1
 
     Reading data from file  out.oncv
    1.601184000   -0.290719297   -0.059869874
    1.614869333   -0.281825496   -0.060112015
    1.628554667   -0.272674173   -0.060361165
    1.642240000   -0.263279029   -0.060616951
    1.655925333   -0.253654150   -0.060878991
    1.669610667   -0.243813985   -0.061146890
    1.683296000   -0.233773325   -0.061420246
    1.696981333   -0.223547279   -0.061698648
    1.710666667   -0.213151249   -0.061981676
    1.724352000   -0.202600906   -0.062268904
    1.738037333   -0.191912167   -0.062559900
    1.751722667   -0.181101164   -0.062854223
    1.765408000   -0.170184220   -0.063151430
    1.779093333   -0.159177822   -0.063451073
    1.792778667   -0.148098588   -0.063752699
    1.806464000   -0.136963241   -0.064055854
    1.820149333   -0.125788575   -0.064360082
    1.833834667   -0.114591424   -0.064664925
    1.847520000   -0.103388627   -0.064969926
    1.861205333   -0.092196992   -0.065274629
    1.874890667   -0.081033261   -0.065578578
    1.888576000   -0.069914067   -0.065881324
    1.902261333   -0.058855901   -0.066182419
    1.915946667   -0.047875060   -0.066481422
    1.929632000   -0.036987611   -0.066777897
    1.943317333   -0.026209340   -0.067071417
    1.957002667   -0.015555710   -0.067361564
    1.970688000   -0.005041808   -0.067647931
    1.984373333    0.005317704   -0.067930121
    1.998058667    0.015508635   -0.068207751
    2.011744000    0.025517322   -0.068480452
    2.025429333    0.035330676   -0.068747872
    2.039114667    0.044936238   -0.069009674
    2.052800000    0.054322220   -0.069265542
    2.066485333    0.063477563   -0.069515176
    2.080170667    0.072391975   -0.069758301
    2.093856000    0.081055978   -0.069994660
    2.107541333    0.089460946   -0.070224022
    2.121226667    0.097599145   -0.070446177
    2.134912000    0.105463756   -0.070660943
    2.148597333    0.113048906   -0.070868159
    2.162282667    0.120349686   -0.071067693
    2.175968000    0.127362164   -0.071259437
    2.189653333    0.134083387   -0.071443311
    2.203338667    0.140511384   -0.071619259
