
     Program AVERAGE v.6.1 (svn rev. 13369) starts on 18Sep2017 at 17: 2:33 

     This program is part of the open-source Quantum ESPRESSO suite
     for quantum simulation of materials; please cite
         "P. Giannozzi et al., J. Phys.:Condens. Matter 21 395502 (2009);
          URL http://www.quantum-espresso.org", 
     in publications or presentations arising from this work. More details at
     http://www.quantum-espresso.org/quote

     Parallel version (MPI & OpenMP), running on      20 processor cores
     Number of MPI processes:                 1
     Threads/MPI process:                    20
     Reading header from file  n-atom.dat

   Info: using nr1, nr2, nr3 values from input

   Info: using nr1, nr2, nr3 values from input
 
     G-vector sticks info
     --------------------
     sticks:   dense  smooth     PW     G-vecs:    dense   smooth      PW
     Sum        9401    9401      1               684885   684885       1
 
     Reading data from file  n-atom.dat
    2.956176000    0.005525030    0.000655603
    2.969862000    0.005536756    0.000778081
    2.983548000    0.005548116    0.000898584
    2.997234000    0.005559131    0.001017093
    3.010920000    0.005569828    0.001133590
    3.024606000    0.005580232    0.001248060
    3.038292000    0.005590372    0.001360491
    3.051978000    0.005600274    0.001470873
    3.065664000    0.005609965    0.001579200
    3.079350000    0.005619466    0.001685467
    3.093036000    0.005628797    0.001789676
    3.106722000    0.005637974    0.001891827
    3.120408000    0.005647007    0.001991925
    3.134094000    0.005655904    0.002089979
    3.147780000    0.005664666    0.002185998
    3.161466000    0.005673289    0.002279996
    3.175152000    0.005681768    0.002371986
    3.188838000    0.005690093    0.002461987
    3.202524000    0.005698250    0.002550016
    3.216210000    0.005706226    0.002636095
    3.229896000    0.005714006    0.002720246
    3.243582000    0.005721577    0.002802492
    3.257268000    0.005728925    0.002882858
    3.270954000    0.005736040    0.002961370
    3.284640000    0.005742916    0.003038054
    3.298326000    0.005749547    0.003112937
    3.312012000    0.005755936    0.003186048
    3.325698000    0.005762086    0.003257416
    3.339384000    0.005768006    0.003327069
    3.353070000    0.005773709    0.003395037
    3.366756000    0.005779210    0.003461351
    3.380442000    0.005784530    0.003526040
    3.394128000    0.005789687    0.003589135
    3.407814000    0.005794704    0.003650668
    3.421500000    0.005799603    0.003710668
    3.435186000    0.005804403    0.003769169
    3.448872000    0.005809125    0.003826201
    3.462558000    0.005813784    0.003881796
    3.476244000    0.005818394    0.003935986
    3.489930000    0.005822963    0.003988802
    3.503616000    0.005827498    0.004040277
    3.517302000    0.005831999    0.004090442
    3.530988000    0.005836463    0.004139329
    3.544674000    0.005840884    0.004186969
    3.558360000    0.005845251    0.004233393
    3.572046000    0.005849553    0.004278631
    3.585732000    0.005853775    0.004322713
    3.599418000    0.005857903    0.004365669
    3.613104000    0.005861921    0.004407528
    3.626790000    0.005865815    0.004448318
    3.640476000    0.005869574    0.004488066
    3.654162000    0.005873187    0.004526799
    3.667848000    0.005876648    0.004564542
    3.681534000    0.005879955    0.004601322
    3.695220000    0.005883107    0.004637163
    3.708906000    0.005886110    0.004672088
    3.722592000    0.005888972    0.004706120
    3.736278000    0.005891704    0.004739281
    3.749964000    0.005894321    0.004771593
    3.763650000    0.005896839    0.004803078
    3.777336000    0.005899277    0.004833755
    3.791022000    0.005901652    0.004863645
    3.804708000    0.005903983    0.004892767
    3.818394000    0.005906286    0.004921140
    3.832080000    0.005908577    0.004948784
    3.845766000    0.005910866    0.004975715
    3.859452000    0.005913163    0.005001953
    3.873138000    0.005915473    0.005027516
    3.886824000    0.005917799    0.005052420
    3.900510000    0.005920136    0.005076683
    3.914196000    0.005922481    0.005100322
    3.927882000    0.005924824    0.005123353
    3.941568000    0.005927154    0.005145792
    3.955254000    0.005929457    0.005167656
    3.968940000    0.005931719    0.005188959
    3.982626000    0.005933926    0.005209717
    3.996312000    0.005936063    0.005229944
    4.009998000    0.005938117    0.005249655
    4.023684000    0.005940077    0.005268863
    4.037370000    0.005941934    0.005287581
    4.051056000    0.005943685    0.005305821
    4.064742000    0.005945327    0.005323598
    4.078428000    0.005946861    0.005340921
    4.092114000    0.005948294    0.005357804
    4.105800000    0.005949632    0.005374256
    4.119486000    0.005950889    0.005390288
    4.133172000    0.005952077    0.005405912
    4.146858000    0.005953212    0.005421136
    4.160544000    0.005954309    0.005435971
    4.174230000    0.005955385    0.005450426
    4.187916000    0.005956455    0.005464511
    4.201602000    0.005957533    0.005478235
    4.215288000    0.005958630    0.005491607
    4.228974000    0.005959755    0.005504636
    4.242660000    0.005960915    0.005517330
