#            band          E0[eV]          Sx[eV]        Vxcl[eV]       Vxcnl[eV]         EHF[eV]
       167.000000        9.574626       -5.020415       -9.631142        0.000000       14.185354
       168.000000        9.574627       -5.020405       -9.631133        0.000000       14.185356
       169.000000        9.574639       -5.020411       -9.631136        0.000000       14.185364
       170.000000        9.574643       -5.020400       -9.631125        0.000000       14.185368
       171.000000        9.574645       -5.020407       -9.631130        0.000000       14.185367
       172.000000        9.574664       -5.020409       -9.631131        0.000000       14.185385
       173.000000        9.574671       -5.020413       -9.631136        0.000000       14.185393
       174.000000        9.601811       -5.937373      -10.927099        0.000000       14.591538
       175.000000       10.505708       -5.025543       -9.556092        0.000000       15.036257
       176.000000       10.505716       -5.025539       -9.556091        0.000000       15.036267
       177.000000       10.505724       -5.025562       -9.556108        0.000000       15.036270
       178.000000       10.505729       -5.025560       -9.556102        0.000000       15.036272
       179.000000       10.505734       -5.025534       -9.556088        0.000000       15.036288
       180.000000       10.505735       -5.025566       -9.556116        0.000000       15.036285
       181.000000       10.505736       -5.025554       -9.556110        0.000000       15.036292
       182.000000       10.505743       -5.025538       -9.556093        0.000000       15.036298
       183.000000       10.505752       -5.025522       -9.556067        0.000000       15.036298
       184.000000       10.505753       -5.025522       -9.556068        0.000000       15.036299
